product,finish,format,market,fob_price_usd,estimated_cost_usd,gross_margin_pct,notes
Emerald Green,Brushed,Tile 60x60,EU,10.50,5.50,47.6%,"Brushed popular in Italy/Spain — marginal cost justified."
Forest Green,Polished,Tile 60x60,EU,9.50,4.80,49.5%,"Volume driver for EU."
Forest Green,Sandblasted,Tile 60x60,EU,9.50,5.00,47.4%,"Outdoor tile EU — reasonable."
Imperial Green,Polished,Tile 60x60,EU,13.00,6.00,53.8%,"Premium positioning vs Italian marble competition. Price needs to be compelling."
Imperial Green,Honed,Tile 60x60,EU,12.50,6.20,50.4%,"Good."
Royal Green,Polished,Tile 60x60,EU,11.50,5.50,52.2%,"Strong for EU luxury residential."
Royal Green,Polished,Tile 30x60,EU,11.00,5.50,50.0%,"Wall cladding format — good EU demand."
Royal Green,Brushed,Tile 60x60,EU,12.00,5.70,52.5%,"Designer finish — France/Germany premium. Hold price."
Silvo Green,Polished,Tile 60x60,EU,9.00,4.50,50.0%,"Volume entry. Fine."
Silvo Green,Honed,Tile 60x60,EU,8.50,4.50,47.1%,"Lowest FOB in portfolio. Ensure not used as loss-leader — margin is thin at $4.00 gross."
Spider Green,Polished,Slab,EU,15.00,9.00,40.0%,"Slab margin compressed in EU vs USA. Freight advantage for EU partially offset by tougher competition."
Emerald Green,Polished,Slab,EU,15.50,9.20,40.6%,"Acceptable."
Forest Green,Polished,Slab,EU,14.00,8.50,39.3%,"Watch — at 39% this is the minimum acceptable floor. Do not discount further."
Imperial Green,Polished,Slab,EU,19.00,10.00,47.4%,"Strong premium slab for EU."
Imperial Green,Honed,Slab,EU,18.00,10.20,43.3%,"Good."
Royal Green,Polished,Slab,EU,16.50,9.50,42.4%,"Luxury residential EU. Good."
Silvo Green,Polished,Slab,EU,13.00,8.00,38.5%,"CAUTION: Margin below 40%. Only sell in combination with higher-margin lines or upsell to Forest Green."
Spider Green,Polished,Tile 60x60,ME,11.00,5.00,54.5%,"Middle East commands highest prices in portfolio — premium market, luxury hospitality. Best margins."
Spider Green,Honed,Tile 60x60,ME,10.50,5.20,50.5%,"Solid."
Spider Green,Polished,Tile 30x30,ME,10.00,5.20,48.0%,"Inlay/feature use — good value."
Emerald Green,Polished,Tile 60x60,ME,11.50,5.20,54.8%,"Strong ME margin."
Emerald Green,Honed,Tile 60x60,ME,11.00,5.40,50.9%,"Good."
Forest Green,Polished,Tile 60x60,ME,10.50,4.80,54.3%,"Volume with strong margin — ideal for large ME projects."
Forest Green,Sandblasted,Tile 60x60,ME,10.50,5.00,52.4%,"Pool deck use — ME climate drives demand."
Imperial Green,Polished,Tile 60x60,ME,14.00,6.00,57.1%,"HIGHEST MARGIN IN PORTFOLIO. Palace/5-star spec. Protect supply for ME buyers."
Imperial Green,Honed,Tile 60x60,ME,13.50,6.20,54.1%,"Excellent."
Imperial Green,Polished,Tile 30x60,ME,13.00,5.80,55.4%,"Wall cladding premium format."
Royal Green,Polished,Tile 60x60,ME,12.50,5.50,56.0%,"Gold veining = luxury aesthetic in ME context. Strong premium holds."
Royal Green,Polished,Tile 30x60,ME,12.00,5.50,54.2%,"Good."
Silvo Green,Polished,Tile 60x60,ME,10.00,4.50,55.0%,"Even entry variety delivers strong ME margin."
Silvo Green,Honed,Tile 60x60,ME,9.50,4.50,52.6%,"Good volume line."
Spider Green,Polished,Slab,ME,16.00,9.00,43.8%,"ME slab margins best in 3 markets."
Emerald Green,Polished,Slab,ME,16.50,9.20,44.2%,"Strong."
Forest Green,Polished,Slab,ME,15.00,8.50,43.3%,"Good."
Imperial Green,Polished,Slab,ME,20.00,10.00,50.0%,"At $20 FOB this is the ceiling of the stated range — justified for ME select grade. 50% gross margin is exceptional for a slab."
Imperial Green,Honed,Slab,ME,19.00,10.20,46.3%,"Excellent."
Royal Green,Polished,Slab,ME,17.50,9.50,45.7%,"Luxury villa ME spec. Strong."
Silvo Green,Polished,Slab,ME,14.00,8.00,42.9%,"Better than EU Silvo slab. Acceptable."
