First Name,Last Name,Organization,Phone 1 - Value,Phone 1 - Type,Email 1 - Value,Notes
Ronak International,Marketing,Ronak International Marble & Natural Stone Trading LLC,+97165525788,Work,wecare@ronakintl.com,ME Stone Importer - Sharjah UAE | Mohammad Kamran MD | WA: +971566295555 | imports from India Italy Greece Spain Vietnam Turkey
Al Taj Marble,Marketing,Al Taj Marble & Tiles Ind. LLC,+97165239051,Work,info@altajmarble.ae,ME Stone Importer - Sharjah UAE | est. 2013 | WA: +971555575049 | imports from India Turkey Italy
Al Milad Trading,Marketing,Al Milad General Trading Co. LLC,+97165345587,Work,info@miladmarble.com,ME Stone Stockist - Sharjah UAE | GCC major marble stockist | imports from India Oman Italy Spain Greece
Al Remal Marble,Marketing,Al Remal Tiles & Marble Co. LLC,+97165353489,Work,info@alremalmarble.com,ME Stone Importer - Sharjah UAE | est. 1989 | imports from India Turkey Italy Spain
Siom Marble,Marketing,Siom Marble & Granite Factory LLC,+97165422240,Work,info@siommarble.com,ME Stone Factory - Sharjah UAE | Maurice Broummana Chairman | est. 1990 | imports from Italy India
Al Hashem Marble,Marketing,Al Hashem Marble Co. LLC,+97125515700,Work,,ME Stone Importer - Abu Dhabi UAE | 40+ years in market | imports from India + international
Al Qemah Marble,Marketing,Al Qemah Marble & Granite LLC,+97165436746,Work,,ME Stone Importer - Sharjah UAE | imports from international stone
Saudi Marble SMG,Marketing,Saudi Marble & Granite Factory Co. Ltd. (SMG),+966114405800,Work,info@smg.com.sa,ME Stone Factory - Riyadh Saudi Arabia | Abdul Junaid Projects Director | est. 1991 Al Harbi Group | imports from India
Fanar Marble,Marketing,Fanar Marble Factory,+966581977475,Work,,ME Stone Factory - Riyadh Saudi Arabia | est. 2015 | imports from India Portugal Spain Italy Greece Turkey China Egypt Oman
Marble Boutique KSA,Marketing,Marble Boutique,+966112192329,Work,info@marbleboutique.net,ME Stone Importer - Riyadh Saudi Arabia | 35 years in stone | imports from India + international
AkmaStone,Marketing,AkmaStone,+966531972124,Work,,ME Stone Importer - Jeddah Saudi Arabia | serves Riyadh & Dammam | imports from India Italy Spain Greece Portugal Brazil Vietnam China Turkey
ORYX Marble Qatar,Marketing,ORYX For Marble & Granite,+97444154386,Work,info@oryxmarble.qa,ME Stone Factory - Doha Qatar | largest stone factory in Qatar | imports from India Turkey Italy
Nabina Marble Qatar,Marketing,Nabina Marble Factory,+97444652345,Work,nmf@nabina.com,ME Stone Factory - Doha Qatar | part of Nabina Group | imports from India + international
ME Marble Qatar,Marketing,Middle East Marble & Granite Trading WLL,+97441402454,Work,,ME Stone Importer - Doha Qatar | Industrial Area | imports international stone
Al-Fan Qatar,Marketing,Al-Fan Al-Damishqe,+97455804003,Work,info@alfanmarbles.com,ME Stone Importer - Doha Qatar | stone trade since 1972 Syria | est. Qatar 2013 | imports from India China Greece Brazil Turkey
Al-Jehad Kuwait,Marketing,Al-Jehad International Co. Stone Marble Granite,+96524927891,Work,,ME Stone Importer - Kuwait City Kuwait | Shuwaikh Industrial Area | imports from India + international
Five Continents Oman,Marketing,Five Continents Marble LLC (5CM),+96824816281,Work,,ME Stone Importer - Muscat Oman | WA: +96899257846 | est. 2003 | 30000 sqm showroom+factory | largest importer in Oman
Al Ajmi Marble Oman,Marketing,Al Ajmi Marble LLC,+96824699979,Work,info@alajmimarble.com,ME Stone Importer - Muscat Oman | WA: +96899885691 | est. 1997 | exports to 45 countries
